ai khảo mà xưng
bập bà bập bùng
bập bà bập bềnh
bắc bậc kiêu kì
bắc bậc kiêu kỳ
bắc bậc làm cao
bắt bóng đè chừng
bắt chân chữ ngũ
bắt cá hai tay
bắt cóc bỏ đĩa
bắt cô trói cột
bắt khoan bắt nhặt
bắt ne bắt nét
bằng chân như vại
bằng vai phải lứa
bặt vô âm tín
bẻ hành bẻ tỏi
bế quan toả cảng
bể sâu sóng cả
bể ái nguồn ân
bỉ sắc tư phong
bỉ thử nhất thì
bịt mắt bắt dê
bọ chó múa bấc
bỏ vật bỏ vạ
bố cu mẹ đĩ
bố láo bố lếu
bố lếu bố láo
bốn phương tám hướng
bồ côi bồ cút
bồ hôi bồ kê
bồng lai tiên cảnh
bổ nháo bổ nhào
bổ sấp bổ ngửa
bổ túc văn hoá
bổi hổi bồi hồi
bộ chế hoà khí
bộ nhớ chỉ đọc
bộ nhớ sơ cấp
bộ tổng tư lệnh
bộ vi xử lí
bộ vi xử lý
bộ đội chủ lực
bộ đội địa phương
bộc tuệch bộc toạc
bội chi ngân sách
bội chi tiền mặt
bới bèo ra bọ
bới lông tìm vết
bớt mồm bớt miệng
bờ xôi ruộng mật
bụng chửa vượt mặt
bụng làm dạ chịu
bức xạ cảm ứng
bữa cơm bữa cháo
bữa no bữa đói
bữa đói bữa no
bữa đực bữa cái
cao bay xa chạy
cao chạy xa bay
cao lương mĩ vị
cao lương mỹ vị
cao nhân dật sĩ
cao nhân đắc đạo
cao đan hoàn tán
cao đàm khoát luận
cao đơn hoàn tán
cao đẳng tiểu học
cha căng chú kiết
cha già con cọc
cha truyền con nối
chan tương đổ mẻ
chen vai thích cánh
chi chi chành chành
chi phí lưu thông
chi phí sản xuất
chia ngọt sẻ bùi
chia năm xẻ bảy
chia uyên rẽ thuý
chim lồng cá chậu
chim mồi chó săn
chim sa cá lặn
chim trời cá nước
chiêm khê mùa thối
chiêu binh mãi mã
chiêu hiền đãi sĩ
chiếc bách sóng đào
chiến lược quân sự
chiến sĩ quyết thắng
chiến sĩ thi đua
chiến tranh cục bộ
chiến tranh du kích
chiến tranh giải phóng
chiến tranh hạt nhân
chiến tranh nhân dân
chiến tranh phá hoại
chiến tranh tâm lí
chiến tranh vi trùng
chiến tranh đế quốc
chiết trung chủ nghĩa
chiều như chiều vong
chung lưng đấu cật
chung sống hoà bình
chuyên chính vô sản
chuyển bại thành thắng
chuyển động tịnh tiến
chuồn chuồn đạp nước
chuột chạy cùng sào
chuột sa chĩnh gạo
chán đến mang tai
cháy thành vạ lây
chân chỉ hạt bột
chân cứng đá mềm
chân giày chân dép
chân lí khách quan
chân lí tuyệt đối
chân lí tương đối
chân lý khách quan
chân lý tuyệt đối
chân lý tương đối
chân lấm tay bùn
chân mây cuối trời
chân mây ngọn sóng
chân son mình rỗi
chân trong chân ngoài
chân trời góc biển
chân trời góc bể
chân tơ kẽ tóc
chân yếu tay mềm
chân đồng vai sắt
chân ướt chân ráo
châu chấu đá xe
châu chấu đấu voi
chém to kho mặn
chém to kho nhừ
chén chú chén anh
chén thù chén tạc
chén tạc chén thù
chê ỏng chê eo
chênh va chênh vênh
chìa khoá trao tay
chí cha chí chát
chí công vô tư
chí cùng lực kiệt
chín bỏ làm mười
chín chữ cù lao
chín người mười ý
chính phủ điện tử
chính sách xã hội
chính đại quang minh
chó chui gầm chạn
chó có váy lĩnh
chó cùng rứt giậu
chó cậy gần nhà
chó cắn áo rách
chó ngáp phải ruồi
chó săn chim mồi
chó đen giữ mực
chôn nhau cắt rốn
chôn rau cắt rốn
chùa nát bụt vàng
chùa rách bụt vàng
chùa đất phật vàng
chúi đầu chúi mũi
chăn nuôi công nghiệp
chăn đơn gối chiếc
chưa ráo máu đầu
chương trình nghị sự
chướng tai gai mắt
chạy chẳng khỏi trời
chạy long tóc gáy
chạy ngược chạy xuôi
chạy sấp chạy ngửa
chạy thầy chạy thuốc
chạy tới chạy lui
chạy đi chạy lại
chạy đua vũ trang
chạy đôn chạy đáo
chấp cha chấp chới
chất độc da cam
chậm chà chậm chạp
chập chà chập chờn
chật chà chật chưỡng
chắc như cua gạch
chắc quá hoá lép
chắp cánh liền cành
chắp tay rủ áo
chẳng nói chẳng rằng
chẳng ra làm sao
chẳng đâu vào đâu
chế độ chuyên chế
chế độ công hữu
chế độ cộng hoà
chế độ dân chủ
chế độ gia trưởng
chế độ hai viện
chế độ lưỡng viện
chế độ một viện
chế độ ngoại hôn
chế độ nông nô
chế độ phong kiến
chế độ quân chủ
chế độ quần hôn
chế độ sở hữu
chế độ thủ trưởng
chế độ tiền tệ
chế độ tư bản
chế độ tư hữu
chế độ tạp hôn
chế độ đa phu
chế độ đa thê
chế độ đại nghị
chết cay chết đắng
chết dở sống dở
chết không kịp ngáp
chết mê chết mệt
chết mòn chết mỏi
chết như ngả rạ
chỉ huy dàn nhạc
chỉ mảnh tơ mành
chỉ tay năm ngón
chỉ đâu đánh đó
chỉ đâu đánh đấy
chị ngã em nâng
chịu thương chịu khó
chọc gậy bánh xe
chọc trời khuấy nước
chọn lọc nhân tạo
chọn lọc tự nhiên
chọn mặt gửi vàng
chối bay chối biến
chồn chân mỏi gối
chồng chung vợ chạ
chồng loan vợ phượng
chồng loan vợ phụng
chổi cùn rế rách
chớp bể mưa nguồn
chở củi về rừng
chợ trưa dưa héo
chủ nghĩa anh hùng
chủ nghĩa biểu hiện
chủ nghĩa biệt phái
chủ nghĩa bành trướng
chủ nghĩa bá quyền
chủ nghĩa bình quân
chủ nghĩa bảo thủ
chủ nghĩa chủ quan
chủ nghĩa chủng tộc
chủ nghĩa cá nhân
chủ nghĩa công đoàn
chủ nghĩa cơ hội
chủ nghĩa cải lương
chủ nghĩa cấp tiến
chủ nghĩa cấu trúc
chủ nghĩa cổ điển
chủ nghĩa cộng sản
chủ nghĩa duy cảm
chủ nghĩa duy linh
chủ nghĩa duy lí
chủ nghĩa duy lý
chủ nghĩa duy mĩ
chủ nghĩa duy mỹ
chủ nghĩa duy tâm
chủ nghĩa duy vật
chủ nghĩa dân tuý
chủ nghĩa dân tộc
chủ nghĩa giáo điều
chủ nghĩa hiện sinh
chủ nghĩa hiện thực
chủ nghĩa hiện tượng
chủ nghĩa hiện đại
chủ nghĩa hoài nghi
chủ nghĩa hành vi
chủ nghĩa hình thức
chủ nghĩa hư vô
chủ nghĩa khách quan
chủ nghĩa khắc kỉ
chủ nghĩa kinh nghiệm
chủ nghĩa kinh viện
chủ nghĩa lãng mạn
chủ nghĩa lập thể
chủ nghĩa nhân bản
chủ nghĩa nhân văn
chủ nghĩa nhân vị
chủ nghĩa nhân đạo
chủ nghĩa phát xít
chủ nghĩa quan liêu
chủ nghĩa quân phiệt
chủ nghĩa quốc gia
chủ nghĩa quốc tế
chủ nghĩa quốc xã
chủ nghĩa sinh tồn
chủ nghĩa siêu thực
chủ nghĩa sô vanh
chủ nghĩa tam dân
chủ nghĩa thuần tuý
chủ nghĩa thần bí
chủ nghĩa thế giới
chủ nghĩa thực chứng
chủ nghĩa thực dân
chủ nghĩa thực dụng
chủ nghĩa trực giác
chủ nghĩa tình cảm
chủ nghĩa tư bản
chủ nghĩa tương đối
chủ nghĩa tượng trưng
chủ nghĩa tả chân
chủ nghĩa tự do
chủ nghĩa tự nhiên
chủ nghĩa vị kỉ
chủ nghĩa vị kỷ
chủ nghĩa vị lai
chủ nghĩa vị lợi
chủ nghĩa vị tha
chủ nghĩa xã hội
chủ nghĩa xét lại
chủ nghĩa yêu nước
chủ nghĩa đa đa
chủ nghĩa đế quốc
chủ nghĩa ấn tượng
chứa thổ đổ hồ
chức trọng quyền cao
chứng nào tật ấy
chửi chó mắng mèo
chữ thầy trả thầy
coi trời bằng vung
con bế con bồng
con bồng con mang
con chú con bác
con chấy cắn đôi
con cà con kê
con dao hai lưỡi
con dì con già
con dại cái mang
con gái con đứa
con ngoài giá thú
con ong cái kiến
con ranh con lộn
con trai con đứa
con ông cháu cha
con đầu cháu sớm
cà khẳng cà khiu
cà kê dê ngỗng
cà lăm cà lắp
cà lăm cà lặp
cà riềng cà tỏi
cà rịch cà tang
cà tong cà teo
cành vàng lá ngọc
càu nhà càu nhàu
cá chép hoá rồng
cá chậu chim lồng
cá mè một lứa
cá nhân chủ nghĩa
cá nước chim trời
cá nằm trên thớt
cá đối bằng đầu
cách mạng công nghiệp
cách mạng khoa học
cách mạng kĩ thuật
cách mạng kỹ thuật
cách mạng tháng tám
cách mạng tư sản
cách mạng vô sản
cách mạng văn hoá
cách mặt khuất lời
cách núi ngăn sông
cách ra cách rách
cách trở quan san
cái ăn cái mặc
cánh bèo mặt nước
cánh kéo giá cả
cáo mượn oai hùm
cát lầm ngọc trắng
cân đo đong đếm
cân đong đo đếm
cây cao bóng cả
cây nhà lá vườn
cây quỳnh cành dao
cây đa cây đề
cãi chày cãi cối
cò bay thẳng cánh
còn nước còn tát
có chí thì nên
có da có thịt
có lí có lẽ
có lý có lẽ
có một không hai
có mới nới cũ
có nơi có chốn
có sừng có mỏ
có tật giật mình
có đi có lại
cóc ca cóc cách
cót ca cót két
cô nhi quả phụ
công dung ngôn hạnh
công lên việc xuống
công nghệ di truyền
công nghệ phần mềm
công nghệ sinh học
công nghệ thông tin
công nghệ tri thức
công nhân quí tộc
công nhân quý tộc
công nông lâm nghiệp
công pháp quốc tế
công thành danh toại
công thức hoá học
công ti cổ phần
công trường thủ công
công ty cổ phần
công tư hợp doanh
công tư lưỡng lợi
công tố uỷ viên
công xã nhân dân
công xã nông thôn
công ăn việc làm
cù bơ cù bất
cùn đời mạt kiếp
cùng bất đắc dĩ
cùng hội cùng thuyền
cùng quá hoá liều
cúc cung tận tuỵ
căn cắt căn chỉnh
căn cứ du kích
căn cứ quân sự
cũ người mới ta
cơ chế thị trường
cơ chừng này thì
cơ hội chủ nghĩa
cơ quan chuyên môn
cơ quan chức năng
cơ quan dân cử
cơ quan hành chính
cơ quan ngôn luận
cơ sở dữ liệu
cơ sở hạ tầng
cơ sở ngữ liệu
cơ sở vật chất
cơm bưng nước rót
cơm hàng cháo chợ
cơm hẩm áo manh
cơm niêu nước lọ
cơm thầy cơm cô
cơm thừa canh cặn
cơm áo gạo tiền
cơm đùm cơm nắm
cư trú chính trị
cưa sừng làm nghé
cưa đứt đục suốt
cười như nắc nẻ
cười ra nước mắt
cường độ lao động
cưỡi ngựa xem hoa
cưỡi trên lưng cọp
cưỡi trên lưng hổ
cưỡi đầu cưỡi cổ
cạn tàu ráo máng
cạn tầu ráo máng
cạnh tranh sinh tồn
cả giận mất khôn
cả thèm chóng chán
cải cách ruộng đất
cải cách điền địa
cải lão hoàn đồng
cải tà qui chính
cải tà quy chánh
cải tà quy chính
cải tạo tư tưởng
cải tử hoàn sinh
cảm tình cá nhân
cảm ứng điện từ
cấm ca cấm cảu
cấm chợ ngăn sông
cấp tiến chủ nghĩa
cầm cân nảy mực
cầm cân nẩy mực
cầm cờ chạy hiệu
cầm kì thi hoạ
cầm đã bén dây
cầu bơ cầu bất
cầu toàn trách bị
cầu trời khấn phật
cầu được ước thấy
cẩm tâm tú khẩu
cẩn tắc vô ưu
cập rà cập rập
cắc ca cắc củm
cắm sào đợi nước
cắm đầu cắm cổ
cắn rơm cắn cỏ
cắp ca cắp củm
cằn nhà cằn nhằn
cọc cà cọc cạch
cọc đi tìm trâu
cọt cà cọt kẹt
cố sống cố chết
cố đấm ăn xôi
cốc mò cò xơi
cốc mò cò ăn
cốt nhục tương tàn
cốt nhục tử sinh
cồn cát duyên hải
cổ cày vai bừa
cổ sinh vật học
cộng sản chủ nghĩa
cộng sản nguyên thuỷ
cộng đồng tộc người
củ mỉ cù mì
củ rủ cù rù
của chìm của nổi
của chồng công vợ
của cải quốc dân
của người phúc ta
của thiên trả địa
của ít lòng nhiều
của ăn của để
của đau con xót
của đi thay người
cứng đầu cứng cổ
cứu nhân độ thế
da mồi tóc bạc
da mồi tóc sương
da ngựa bọc thây
danh bất hư truyền
danh chính ngôn thuận
danh gia vọng tộc
danh lam thắng cảnh
danh lam thắng tích
diễn biến hoà bình
diễu võ dương oai
doạ già doạ non
doạ non doạ già
du canh du cư
du hành vũ trụ
du thủ du thực
duy ngã độc tôn
duy tâm sử quan
duyên ưa phận đẹp
dài dòng văn tự
dài lưng tốn vải
dàn nhạc giao hưởng
dày gió dạn sương
dân chủ tư sản
dân chủ tập trung
dân ngu khu đen
dân quân du kích
dân quân tự vệ
dân tộc chủ thể
dân tộc thiểu số
dân tộc đa số
dây cà dây muống
dây máu ăn phần
dây mơ rễ má
dã tràng xe cát
dãi gió dầm mưa
dãi nắng dầm mưa
dòng điện một chiều
dòng điện xoay chiều
dùi mài kinh sử
dùng đi dùng lại
dăm bữa nửa tháng
dĩ hoà vi quý
dĩ nông vi bản
dĩ thực vi thiên
dĩ thực vi tiên
dĩ độc trị độc
dơ dáng dại hình
dương dương tự đắc
dương đông kích tây
dạy khỉ leo cây
dạy đĩ vén váy
dấm da dấm dẳn
dấp da dấp dính
dấu thỏ đường dê
dầm mưa dãi gió
dầm mưa dãi nắng
dẫn thuỷ nhập điền
dập liễu vùi hoa
dặm nghìn da ngựa
dặn đi dặn lại
dễ làm khó bỏ
dệt gấm thêu hoa
dốt đặc cán mai
dỗ ngon dỗ ngọt
dớ da dớ dẩn
dở dơi dở chuột
dở dở ương ương
dở khóc dở cười
dở khôn dở dại
dở ngây dở dại
dở trăng dở đèn
dở ông dở thằng
dở đục dở trong
dục tốc bất đạt
dứt dây phong trần
dứt mối lìa tơ
dự bị đại học
dựng vợ gả chồng
gan héo ruột đầy
gan liền tướng quân
gan lì tướng quân
gan vàng dạ sắt
ghen ăn tức ở
ghi lòng tạc dạ
ghi xương khắc cốt
ghét cay ghét đắng
ghét cay ghét độc
ghẹo nguyệt trêu hoa
gia đình chủ nghĩa
gieo gió gặt bão
gieo ngọc trầm châu
gieo tai rắc hoạ
gieo tai rắc vạ
già chơi trống bỏi
già dái non hột
già kén kẹn hom
già néo đứt dây
già trái non hột
già đòn non lẽ
già đòn non nhẽ
giày tía vò hồng
giá trị sử dụng
giá trị thặng dư
giá trị trao đổi
giá trị tuyệt đối
giá áo túi cơm
giám đốc điều hành
giáo cụ trực quan
giáo dục phổ thông
gió bãi trăng ngàn
gió bắt mưa cầm
gió kép mưa đơn
gió mát trăng thanh
gió mùa đông bắc
gió táp mưa sa
gióng trống mở cờ
giơ cao đánh khẽ
giơ cao đánh sẽ
giơ đầu chịu báng
giả chết bắt quạ
giả câm giả điếc
giả mù giả điếc
giả mù pha mưa
giả mận gieo đào
giả ngô giả ngọng
giả nhân giả nghĩa
giả đui giả điếc
giải cấu tương phùng
giải trừ quân bị
giấu gươm đầu lưỡi
giấu voi đụn rạ
giấu đầu hở đuôi
giấu đầu lòi đuôi
giấy rách giữ lề
giấy trắng mực đen
giẫm chân tại chỗ
giận cá chém thớt
giật gấu vá vai
giậu đổ bìm leo
giẻ cùi tốt mã
giết người cướp của
giội gáo nước lạnh
giời cao đất dày
giời đông tháng giá
giở giời trái gió
giục như giục tà
giữ mồm giữ miệng
giữ ý giữ tứ
giữa đường đứt gánh
gà gà gật gật
gà sống nuôi con
gà trống nuôi con
gá thổ đổ hồ
gác chân chữ ngũ
gác tía lầu son
gái đĩ già mồm
gán vợ đợ con
gây thù chuốc oán
gãi đúng chỗ ngứa
gãi đầu gãi tai
gìn vàng giữ ngọc
góc biển chân trời
góp gió thành bão
gương vỡ lại lành
gạn đục khơi trong
gạo châu củi quế
gạo chợ nước sông
gạo trắng nước trong
gần kề miệng lỗ
gần lửa rát mặt
gần đất xa trời
gập gà gập ghềnh
gật gà gật gù
gật gà gật gưỡng
gắt như mắm tôm
gặp chăng hay chớ
gối đất nằm sương
gửi trứng cho ác
hai bàn tay trắng
hai năm rõ mười
hai sương một nắng
hai tay buông xuôi
ham thanh chuộng lạ
hang cùng ngõ hẻm
hang hùm miệng rắn
hang hùm nọc rắn
hao binh tổn tướng
hao mòn hữu hình
hao mòn vô hình
hao tiền tốn của
hao tài tốn của
hiền nhân quân tử
hiện thực khách quan
hiệp định sơ bộ
hiệu ứng lồng kính
hiệu ứng nhà kính
hoa chân múa tay
hoa cà hoa cải
hoa hoè hoa sói
hoa tàn nhị rữa
hoà bình chủ nghĩa
hoàng thân quốc thích
hoá học hữu cơ
hoá học vô cơ
hoãn binh chi kế
hoạ hổ bất thành
hoạ vô đơn chí
huynh đệ tương tàn
huyên cỗi xuân già
huyên thuyên xích đế
hà thủ ô nam
hà thủ ô trắng
hà thủ ô đỏ
hà tằn hà tiện
hàng không mẫu hạm
hàng không vũ trụ
hàng rào danh dự
hàng rào thuế quan
hàng tôm hàng cá
hành lang pháp lí
hành lang pháp lý
hành tinh nhân tạo
hành động sân khấu
há miệng chờ sung
há miệng mắc quai
hì hà hì hục
hình học giải tích
hình học hoạ hình
hình học không gian
hình hộp chữ nhật
hình thái kinh tế
hình thức chủ nghĩa
hí ha hí hửng
hùng hùng hổ hổ
hú hồn hú vía
hút máu hút mủ
hăm hăm hở hở
hơn bao giờ hết
hư hư thực thực
hư trương thanh thế
hương lạnh khói tàn
hạ hồi phân giải
hạ tầng công tác
hạ tầng cơ sở
hạc nội mây ngàn
hạch toán kinh tế
hạch toán kế toán
hại nhân nhân hại
hả lòng hả dạ
hải phận quốc tế
hải quân lục chiến
hải quân đánh bộ
hấp ha hấp háy
hấp ta hấp tấp
hầm hầm hè hè
hậm hà hậm hực
hậu sinh khả uý
hằng bất đẳng thức
hằng hà sa số
hằng tâm hằng sản
hết hồn hết vía
hết nước hết cái
hệ đếm nhị phân
hệ đếm thập phân
hỉ mũi chưa sạch
học tài thi phận
hồ thỉ tang bồng
hồn xiêu phách lạc
hồng nhan bạc mệnh
hồng nhan bạc phận
hồng nhan đa truân
hồng y giáo chủ
hổn ha hổn hển
hổn hà hổn hển
hỗn canh hỗn cư
hỗn quân hỗn quan
hộ pháp cắn trắt
hội chữ thập đỏ
hội nghị bàn tròn
hội thẩm nhân dân
hội đồng bộ trưởng
hội đồng chính phủ
hội đồng kỉ luật
hội đồng kỷ luật
hội đồng nhà nước
hội đồng nhân dân
hội đồng quản trị
hội đồng đề hình
hớt hơ hớt hải
hờn duyên tủi phận
hợp kim trung gian
hợp tình hợp lí
hợp tình hợp lý
hứa hươu hứa vượn
hữu danh vô thực
hữu dũng vô mưu
hữu sinh vô dưỡng
hữu sắc vô hương
hữu tài vô hạnh
in rô nê ô
inh tai nhức óc
khai cơ lập nghiệp
khai hoa kết quả
khai quốc công thần
khai sơn phá thạch
khai thiên lập địa
khiếp vía kinh hồn
khoa chân múa tay
khoa học cơ bản
khoa học kĩ thuật
khoa học kỹ thuật
khoa học nhân văn
khoa học quân sự
khoa học tự nhiên
khoa học viễn tưởng
khoa học xã hội
khoa học ứng dụng
khoanh tay chịu chết
khoanh tay rủ áo
khom lưng uốn gối
khoái cảm thẩm mĩ
khoái cảm thẩm mỹ
khoắng lấy khoắng để
khu phi quân sự
khua chiêng gióng trống
khua chiêng gõ mõ
khua chiêng gõ trống
khua chuông gõ mõ
khua chân múa tay
khua môi múa mép
khua đi khua lại
khuynh gia bại sản
khuynh quốc khuynh thành
khuôn vàng thước ngọc
khác máu tanh lòng
khách quan chủ nghĩa
khéo mồm khéo miệng
khí tượng nông nghiệp
khí tượng thuỷ văn
khó người dễ ta
khó người khó ta
khó tính khó nết
khó ăn khó nói
khóc dở mếu dở
khóc đứng khóc ngồi
khôn nhà dại chợ
không cánh mà bay
không hẹn mà nên
không kèn không trống
không nhiều thì ít
không nói không rằng
không tiền khoáng hậu
không ít thì nhiều
không đâu vào đâu
không đầu không đũa
không đội trời chung
khúm na khúm núm
khăn gói gió đưa
khăn gói quả mướp
khấp kha khấp khểnh
khất kha khất khưởng
khất quanh khất quẩn
khấu trừ hao mòn
khấu đầu khấu đuôi
khẩu thiệt vô bằng
khẩu độ tỉ đối
khập khà khập khiễng
khật khà khật khưỡng
khật khà khật khừ
khắc cốt ghi tâm
khắc cốt ghi xương
khắc lậu canh tàn
khắp chợ cùng quê
khỉ ho cò gáy
khỏi vòng cong đuôi
khố rách áo ôm
khổ tận cam lai
khủng hoảng chính trị
khủng hoảng kinh tế
ki lô mét vuông
kim loại nguyên sinh
kim loại tái sinh
kinh bang tế thế
kinh cung chi điểu
kinh hồn bạt vía
kinh hồn táng đởm
kinh thiên động địa
kinh tế hàng hoá
kinh tế thị trường
kinh tế tri thức
kinh tế tự nhiên
kiến bò miệng chén
kiến giả nhất phận
kiến thiết cơ bản
kiến trúc thượng tầng
kiến trúc địa chất
kèm nhà kèm nhèm
kén cá chọn canh
kéo bè kéo cánh
kéo bè kết đảng
kéo cày trả nợ
kì hoa dị thảo
kì phùng địch thủ
kí cả hai tay
kín cổng cao tường
kính lão đắc thọ
kính nhi viễn chi
ký cả hai tay
kĩu cà kĩu kịt
kẻ bắc người nam
kẻ tung người hứng
kẻ ít người nhiều
kẻ ăn người làm
kẻ ăn người ở
kẻ ở người đi
kẻm nhẻm kèm nhèm
kẽo cà kẽo kẹt
kết cấu hạ tầng
kết cỏ ngậm vành
kết tóc xe tơ
kề vai sát cánh
kị binh thiết giáp
kỳ hoa dị thảo
kỳ phùng địch thủ
kỵ binh thiết giáp
lam sơn chướng khí
lang bạt kì hồ
lang bạt kỳ hồ
lao tâm cực trí
lao tâm khổ trí
lao tâm khổ tứ
lao động cần thiết
lao động giản đơn
lao động phức tạp
lao động quá khứ
lao động thặng dư
lao động tất yếu
lao động vật hoá
lau cha lau chau
lay trời chuyển đất
lem nha lem nhem
leo nheo lúc nhúc
linh ta linh tinh
linh tinh lang tang
liên chi hồ điệp
liên hồi kì trận
liên hồi kỳ trận
liễu yếu đào thơ
liễu yếu đào tơ
liệt giường liệt chiếu
liệu cái thần hồn
liệu cơm gắp mắm
liệu gió phất cờ
lo bò trắng răng
lo sâu tính xa
loay ha loay hoay
loi ngoi lóp ngóp
lom kha lom khom
long trời chuyển đất
long trời lở đất
lung ta lung tung
luộm thà luộm thuộm
làm bia đỡ đạn
làm bộ làm tịch
làm chủ đầu tư
làm dâu trăm họ
làm mình làm mẩy
làm mưa làm gió
làm phúc phải tội
làm tình làm tội
làm vương làm tướng
làm đi làm lại
làm ơn mắc oán
làm ơn nên oán
lành chanh lành chói
làu bà làu bàu
làu nhà làu nhàu
lá gió cành chim
lá mặt lá trái
lá ngọc cành vàng
lá rụng về cội
lách ca lách cách
láu ta láu táu
láu tôm láu cá
lãnh sự tài phán
lão giả an chi
lão nông tri điền
lè nhà lè nhè
lèm bà lèm bèm
léo nha léo nhéo
lép ba lép bép
lên gân lên cốt
lên thác xuống ghềnh
lên voi xuống chó
lên xe xuống ngựa
lênh kha lênh khênh
lí la lí lắc
lí nha lí nhí
lí thuyết thông tin
lí thuyết trò chơi
lí thuyết tương đối
lí thuyết tập hợp
lí thuyết xác suất
lích ca lích kích
lính thuỷ đánh bộ
lít nha lít nhít
líu la líu lô
líu ra líu ríu
lòng chim dạ cá
lòng lang dạ sói
lòng lang dạ thú
lòng son dạ sắt
lòng tham không đáy
lòng thà lòng thòng
lòng và lòng vòng
lóng ca lóng cóng
lóng la lóng lánh
lóng nga lóng ngóng
lôi bè kéo cánh
lôi thôi lếch thếch
lôi thôi lốc thốc
lông ba lông bông
lông bông lang bang
lùng nhà lùng nhùng
lú ruột lú gan
lúc la lúc lắc
lúc nha lúc nhúc
lúng ba lúng búng
lúng la lúng liếng
lúng ta lúng túng
lý thuyết thông tin
lý thuyết trò chơi
lý thuyết tương đối
lý thuyết tập hợp
lý thuyết xác suất
lăn đùng ngã ngửa
lăng nhăng lít nhít
lăng xa lăng xăng
lơ chơ lỏng chỏng
lơ nga lơ ngơ
lướt tha lướt thướt
lường thầy phản bạn
lược giắt trâm cài
lượt thà lượt thượt
lạ nước lạ cái
lạch bà lạch bạch
lạch cà lạch cạch
lạch tà lạch tạch
lạch xà lạch xạch
lạt mềm buộc chặt
lạu bà lạu bạu
lạy như tế sao
lải nhải lài nhài
lấc ca lấc cấc
lấm la lấm lét
lấp la lấp lánh
lấp la lấp lửng
lấy công làm lãi
lấy ngắn nuôi dài
lấy thúng úp voi
lấy thịt đè người
lấy độc trị độc
lầm bà lầm bầm
lầm lầm lì lì
lầm đường lạc lối
lần chà lần chần
lầu bà lầu bầu
lầu nhà lầu nhầu
lầu son gác tía
lẩm bà lẩm bẩm
lẩm ca lẩm cẩm
lẩm cà lẩm cẩm
lẩn tha lẩn thẩn
lẩn thà lẩn thẩn
lẩy bà lẩy bẩy
